"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jun 25 16:18:48 IST 2024","Tue Jun 25 16:18:48 IST 2024","3","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","landingPageRedirectionTest","landingPageRedirectionTest",""
"broken","Wed Jul 03 15:04:09 IST 2024","Wed Jul 03 15:04:09 IST 2024","47","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.OpenShareLink","org.example.OpenShareLink","partybill","partybill",""
"passed","Thu Jun 27 12:13:53 IST 2024","Thu Jun 27 12:13:54 IST 2024","881","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.LoginPage","org.example.LoginPage","loginRedirectionTest","loginRedirectionTest",""
"skipped","Tue Jun 25 16:18:48 IST 2024","Tue Jun 25 16:18:48 IST 2024","1","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","emptyNameTest","emptyNameTest",""
"passed","Fri Jul 12 12:35:36 IST 2024","Fri Jul 12 12:35:39 IST 2024","3042","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.User.LoginPage","org.example.User.LoginPage","forgotpassword","forgotpassword",""
"skipped","Tue Jun 25 16:18:48 IST 2024","Tue Jun 25 16:18:48 IST 2024","1","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","emptyEmailTest","emptyEmailTest",""
"skipped","Tue Jun 25 16:18:48 IST 2024","Tue Jun 25 16:18:48 IST 2024","2","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","privacyPolicyRedirectionTest","privacyPolicyRedirectionTest",""
"passed","Fri Jun 28 12:41:16 IST 2024","Fri Jun 28 12:41:16 IST 2024","83","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","SnapShare","SnapShare",""
"passed","Wed Jul 10 12:16:45 IST 2024","Wed Jul 10 12:16:46 IST 2024","1334","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Resturant.RLoginPage","org.example.Resturant.RLoginPage","LoginPage","LoginPage",""
"passed","Tue Jul 09 11:16:21 IST 2024","Tue Jul 09 11:16:25 IST 2024","4215","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Signpage","org.example.Signpage","signUpPage","signUpPage",""
"skipped","Thu Jun 27 12:40:07 IST 2024","Thu Jun 27 12:40:07 IST 2024","11","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","signUpPage","signUpPage",""
